Obs,NoChange.A,NoChange.B,uniar,dtip,dtgmpyq,dtmsmtq,dtlpnag,ipxmca,hsbp,lhmu25,ip,gmpyq,msmtq,lpnag,dipxmca,dhsbp,dlhmu25,dlhur,lhur
-0.012067,0,-0.003691788,0.001175166,0.001146596,-0.000909579,7.16E-05,-0.001302536,-0.00548252,-0.008115814,0.000465264,-0.002776988,-0.004630423,-0.000911217,-0.005160094,-0.00141716,-0.008102606,0.000186975,-0.002025321,0.000148066
-0.016995999,0,-0.000891652,0.001764015,0.002046184,3.17E-05,0.000992124,-0.000802993,-0.000548404,-0.004538464,0.00504241,0.000845311,-0.00323765,0.00146035,-0.001482613,0.001427199,-0.005103394,0.001272194,-0.005093946,0.004205682
-0.019397811,0,-0.003670338,0.001224169,0.001689945,-0.00014372,0.000591833,-0.000757642,0.002777469,-0.002074404,0.009070981,4.00E-06,-0.004630952,-0.000910561,0.001668991,0.000503299,-0.001961322,0.0014167,-0.003653269,0.007833664
-0.021782048,0,-0.003659641,0.005221388,0.005764568,0.00425238,0.004685357,-0.000451467,-0.001898472,0.003932777,0.003666818,0.004038931,-0.001733108,-0.001586008,0.000434747,0.004553952,0.003945548,0.004283022,-0.001999999,0.00220358
0.01197077,0,0.02755508,0.032512823,0.033484792,0.031978895,0.032475995,0.029686072,0.026759679,0.040589833,0.032317992,0.03176907,0.030725076,0.033243783,0.025125374,0.032131444,0.040220881,0.031991988,0.031425252,0.0305319
-0.019133914,0,-0.003643636,0.002376234,0.003583667,0.002257206,0.002547315,-0.000724568,-0.000717752,0.012011048,0.004471453,0.001163049,0.00023356,0.002708283,-0.006149777,0.002029592,0.011976318,0.000917778,-0.000585707,0.003501063
0.011885768,0,0.024608358,0.030893239,0.032114289,0.030757103,0.031068575,0.027846192,0.027963697,0.038273926,0.032928249,0.030699398,0.030752306,0.030437117,0.026683753,0.030883184,0.038103156,0.030347826,0.028805774,0.031797455
0.0118577,0,0.024541349,0.025909878,0.026976021,0.025555238,0.025921543,0.02248798,0.024618879,0.033915189,0.030277436,0.025246958,0.025678449,0.02536708,0.025642412,0.025582281,0.033589851,0.025933295,0.023553495,0.028837073
-0.021375873,0,-0.006321431,-0.005017808,-0.00374629,-0.005193004,-0.004856114,-0.008466237,-0.004025423,8.70E-05,0.002305624,-0.006144699,-0.005650292,-0.005164591,-0.00549427,-0.005300487,-0.000367119,-0.004749279,-0.008867895,-0.000383501
-0.023704587,0,-0.006296344,-0.005257302,-0.004079485,-0.005761087,-0.005255681,-0.009451922,-0.005613551,0.000587317,0.00087189,-0.007633465,-0.006843549,-0.007000731,-0.008713329,-0.005799941,-3.93E-05,-0.006521515,-0.009596076,-0.000998142
-0.026016675,0,-0.006271438,-0.00666644,-0.005576351,-0.007385467,-0.006727216,-0.01103259,-0.007044759,-0.001190052,-0.001307772,-0.007718657,-0.007767487,-0.00849748,-0.013744129,-0.006970375,-0.001553242,-0.00739767,-0.011588144,-0.003761694
-0.028312319,0,-0.006246711,-0.006852609,-0.005673174,-0.007378283,-0.00670757,-0.010662671,-0.007185997,0.00345412,-0.004125235,-0.005443417,-0.006966113,-0.004485928,-0.004544948,-0.006648144,0.003217456,-0.007576376,-0.00786208,-0.005996495
0.001948993,0,0.021312273,0.022083092,0.023261952,0.021575374,0.022157075,0.018492599,0.022172668,0.031072085,0.025569948,0.022349569,0.02259406,0.022590514,0.021026627,0.022138553,0.031029471,0.022356914,0.022802222,0.023680005
0.036904557,0,0.046162042,0.049877277,0.0503648,0.048359094,0.049500342,0.045872998,0.048803243,0.055892413,0.053085411,0.048179958,0.048799848,0.050137863,0.04734836,0.049825856,0.05599839,0.050112778,0.050064876,0.051075413
0.004363864,0,0.013391995,0.017662711,0.017097317,0.01489993,0.016504578,0.01292003,0.014844153,0.022310752,0.018784822,0.017088263,0.017064205,0.017955414,0.017464607,0.017543749,0.0226176,0.017779866,0.017380195,0.019245477
0.004354531,0,0.010755531,0.01722035,0.015230067,0.013093602,0.014911506,0.011218655,0.013319995,0.022170797,0.017223588,0.017407579,0.013298656,0.017040806,0.017994606,0.017335331,0.022681132,0.017233873,0.01739591,0.01724209
-0.027952917,0,-0.016602423,-0.012412963,-0.015621417,-0.017860407,-0.015626139,-0.019779198,-0.017629221,-0.013439869,-0.013171779,-0.012369864,-0.016616083,-0.012599789,-0.009226885,-0.012159508,-0.012197505,-0.012837166,-0.011917156,-0.014116251
-0.030206907,0,-0.016524334,-0.014456912,-0.018665839,-0.019866534,-0.017993133,-0.023666967,-0.017946137,-0.01597584,-0.01563434,-0.014498682,-0.024101157,-0.01345694,-0.015920301,-0.014509324,-0.010563421,-0.016019131,-0.016130159,-0.015740863
-0.000464837,0,0.013180706,0.009944025,0.00483599,0.002575209,0.007297428,0.001526565,0.008132633,0.017612329,0.008047174,0.008395165,0.009923137,0.010063599,0.011432565,0.009739442,0.01918158,0.00524514,0.008622159,0.006748842
-0.000462576,0,0.013146136,0.008769547,0.003095428,0.001302862,0.00428266,-0.000816404,0.007556909,0.011574592,0.000731003,0.0062448,0.010207517,0.009648216,0.010926548,0.007001536,0.010498545,0.003354615,0.004688904,0.005729634
0.001917792,0,0.010557467,0.013338652,0.004243133,0.001770083,0.005405999,-0.001695027,0.008983949,0.013634599,-0.000305178,0.012068555,0.011113006,0.014069197,0.014218644,0.014551715,0.014353517,0.008193897,0.009841347,0.010473327
